id,name,type
0,magnolia_tripetala,INGREDIENT
1,calyptranthes_parriculata,INGREDIENT
2,chamaecyparis_pisifera_oil,INGREDIENT
3,mackerel,INGREDIENT
4,mimusops_elengi_flower,INGREDIENT
5,hyssop,INGREDIENT
6,buchu,INGREDIENT
7,black_pepper,INGREDIENT
8,eryngium_poterium_oil,INGREDIENT
9,peanut_butter,INGREDIENT
10,artemisia_verlo,INGREDIENT
11,agastache_rugosa,INGREDIENT
12,satureia_thymera,INGREDIENT
13,petitgrain,INGREDIENT
14,orris_root,INGREDIENT
15,black_mustard_seed_oil,INGREDIENT
16,celery_oil,INGREDIENT
17,red_bean,INGREDIENT
18,almond,INGREDIENT
19,bacon,INGREDIENT
20,lavender,INGREDIENT
21,black_chokecherry,INGREDIENT
22,abies_canadensis,INGREDIENT
23,petitgrain_lemon,INGREDIENT
24,keta_salmon,INGREDIENT
25,jasmine_tea,INGREDIENT
26,grapefruit_peel,INGREDIENT
27,acacia_flower_oil,INGREDIENT
28,nezara_viridula,INGREDIENT
29,lemon_tree,INGREDIENT
30,litchi,INGREDIENT
31,filbert,INGREDIENT
32,yellow_passion_fruit_juice,INGREDIENT
33,jasmine,INGREDIENT
34,congo_geranium,INGREDIENT
35,maple_syrup,INGREDIENT
36,vervain_leaf,INGREDIENT
37,smoke,INGREDIENT
38,toasted_oat,INGREDIENT
39,reunion_geranium,INGREDIENT
40,kabosu_peel_oil,INGREDIENT
41,soybean,INGREDIENT
42,wintergreen_leaf,INGREDIENT
43,eucalyptus_hemilampra,INGREDIENT
44,jammus_citronella_oil,INGREDIENT
45,spike,INGREDIENT
46,blueberry,INGREDIENT
47,musk,INGREDIENT
48,callitris_glauca,INGREDIENT
49,red_currant,INGREDIENT
50,myrrh,INGREDIENT
51,pecan,INGREDIENT
52,cicuta_virosa_oil,INGREDIENT
53,purple_passion_fruit_juice,INGREDIENT
54,caja_fruit,INGREDIENT
55,juniper_leaf_oil,INGREDIENT
56,madagascar_cinnamon_leaf_oil,INGREDIENT
57,smoked_sausage,INGREDIENT
58,wort,INGREDIENT
59,celery_seed,INGREDIENT
60,pinus_sylvestris,INGREDIENT
61,chayote,INGREDIENT
62,beet_juice,INGREDIENT
63,dolphin,INGREDIENT
64,honey,INGREDIENT
65,agarwood,INGREDIENT
66,litsea_odorifera,INGREDIENT
67,mentha_crispa,INGREDIENT
68,american_peppermint_oil,INGREDIENT
69,cottage_cheese,INGREDIENT
70,bulgarian_clary_sage,INGREDIENT
71,solidago_odora,INGREDIENT
72,hop,INGREDIENT
73,paraguay_petitgrain,INGREDIENT
74,smoked_summer_sausage,INGREDIENT
75,myrocarpus_fastigiatus,INGREDIENT
76,eucalyptus_dives,INGREDIENT
77,picea_orientalis,INGREDIENT
78,tulip,INGREDIENT
79,ligusticum_acutilobum_oil,INGREDIENT
80,nutmeg_oil,INGREDIENT
81,tahiti_vanilla,INGREDIENT
82,matricaria_parthenium_oil,INGREDIENT
83,valencia_orange_juice,INGREDIENT
84,wine,INGREDIENT
85,piper_famechoni,INGREDIENT
86,carphephorus_corymbosus_leaf,INGREDIENT
87,tsuga_canadensis_oil,INGREDIENT
88,orange_juice,INGREDIENT
89,fagara_zanthoxyloides_oil,INGREDIENT
90,petitgrain_lemon_oil,INGREDIENT
91,guava_peel,INGREDIENT
92,bitter_orange,INGREDIENT
93,roasted_sesame_seed,INGREDIENT
94,avocado,INGREDIENT
95,clary_sage,INGREDIENT
96,blackberry_juice,INGREDIENT
97,tomato_juice,INGREDIENT
98,fig,INGREDIENT
99,american_storax,INGREDIENT
100,savory,INGREDIENT
101,passiflora_edulis_juice,INGREDIENT
102,trassi,INGREDIENT
103,abies_concolor,INGREDIENT
104,castoreum,INGREDIENT
105,bread,INGREDIENT
106,wild_vanilla,INGREDIENT
107,meat,INGREDIENT
108,thuja_articulata_bark_oil,INGREDIENT
109,nemuaron_humboldtii_oil,INGREDIENT
110,citrus_peel,INGREDIENT
111,robinia_pseudoacacia,INGREDIENT
112,rosemary,INGREDIENT
113,satsuma_mandarin_peel,INGREDIENT
114,prawn,INGREDIENT
115,thujopsis_dolabrata,INGREDIENT
116,turnip,INGREDIENT
117,sweet_potato,INGREDIENT
118,black_sesame_seed,INGREDIENT
119,ribes,INGREDIENT
120,mentha,INGREDIENT
121,california_pepper,INGREDIENT
122,eucalyptus_citriodora,INGREDIENT
123,dried_black_tea,INGREDIENT
124,roasted_hazelnut,INGREDIENT
125,melaleuca_oil,INGREDIENT
126,phellodendron_amurense,INGREDIENT
127,sesame_oil,INGREDIENT
128,boronia_dentigeroides_oil,INGREDIENT
129,several_oil,INGREDIENT
130,saxifragaceae,INGREDIENT
