compound_id,rel_type,ingredient_id
906,COMP_PART_OF,1392
861,COMP_PART_OF,1259
673,COMP_PART_OF,1079
906,COMP_PART_OF,22
906,COMP_PART_OF,103
906,COMP_PART_OF,1005
278,COMP_PART_OF,1005
171,COMP_PART_OF,1005
387,COMP_PART_OF,371
165,COMP_PART_OF,371
1099,COMP_PART_OF,371
375,COMP_PART_OF,371
519,COMP_PART_OF,371
587,COMP_PART_OF,371
171,COMP_PART_OF,371
847,COMP_PART_OF,382
611,COMP_PART_OF,382
724,COMP_PART_OF,1249
204,COMP_PART_OF,1097
94,COMP_PART_OF,1097
94,COMP_PART_OF,281
165,COMP_PART_OF,27
64,COMP_PART_OF,564
288,COMP_PART_OF,307
577,COMP_PART_OF,307
136,COMP_PART_OF,307
602,COMP_PART_OF,279
238,COMP_PART_OF,1459
797,COMP_PART_OF,521
283,COMP_PART_OF,818
635,COMP_PART_OF,65
540,COMP_PART_OF,358
700,COMP_PART_OF,11
1052,COMP_PART_OF,1288
608,COMP_PART_OF,1303
1026,COMP_PART_OF,896
599,COMP_PART_OF,1500
541,COMP_PART_OF,18
72,COMP_PART_OF,18
107,COMP_PART_OF,18
195,COMP_PART_OF,18
669,COMP_PART_OF,18
871,COMP_PART_OF,18
1064,COMP_PART_OF,18
890,COMP_PART_OF,18
568,COMP_PART_OF,18
387,COMP_PART_OF,1047
375,COMP_PART_OF,1047
166,COMP_PART_OF,1047
519,COMP_PART_OF,1047
587,COMP_PART_OF,1047
171,COMP_PART_OF,1047
155,COMP_PART_OF,600
347,COMP_PART_OF,600
155,COMP_PART_OF,1205
448,COMP_PART_OF,1341
711,COMP_PART_OF,1477
29,COMP_PART_OF,1272
29,COMP_PART_OF,979
166,COMP_PART_OF,979
703,COMP_PART_OF,979
951,COMP_PART_OF,979
29,COMP_PART_OF,812
166,COMP_PART_OF,812
406,COMP_PART_OF,981
997,COMP_PART_OF,981
542,COMP_PART_OF,981
913,COMP_PART_OF,981
611,COMP_PART_OF,981
283,COMP_PART_OF,981
148,COMP_PART_OF,981
166,COMP_PART_OF,981
583,COMP_PART_OF,981
1029,COMP_PART_OF,981
288,COMP_PART_OF,981
607,COMP_PART_OF,981
913,COMP_PART_OF,829
549,COMP_PART_OF,397
791,COMP_PART_OF,397
599,COMP_PART_OF,397
496,COMP_PART_OF,397
791,COMP_PART_OF,68
599,COMP_PART_OF,68
496,COMP_PART_OF,68
109,COMP_PART_OF,708
247,COMP_PART_OF,708
429,COMP_PART_OF,708
620,COMP_PART_OF,492
762,COMP_PART_OF,99
347,COMP_PART_OF,99
91,COMP_PART_OF,1087
918,COMP_PART_OF,1087
91,COMP_PART_OF,1135
791,COMP_PART_OF,1040
292,COMP_PART_OF,1456
260,COMP_PART_OF,1056
524,COMP_PART_OF,1056
793,COMP_PART_OF,725
673,COMP_PART_OF,725
974,COMP_PART_OF,725
995,COMP_PART_OF,725
793,COMP_PART_OF,420
673,COMP_PART_OF,420
995,COMP_PART_OF,420
612,COMP_PART_OF,1229
424,COMP_PART_OF,1229
177,COMP_PART_OF,1229
709,COMP_PART_OF,1229
256,COMP_PART_OF,1229
370,COMP_PART_OF,1229
476,COMP_PART_OF,1229
886,COMP_PART_OF,1229
950,COMP_PART_OF,1229
759,COMP_PART_OF,1229
657,COMP_PART_OF,1229
701,COMP_PART_OF,1229
384,COMP_PART_OF,1229
612,COMP_PART_OF,462
256,COMP_PART_OF,462
370,COMP_PART_OF,462
424,COMP_PART_OF,462
886,COMP_PART_OF,462
950,COMP_PART_OF,462
177,COMP_PART_OF,462
709,COMP_PART_OF,462
701,COMP_PART_OF,462
657,COMP_PART_OF,462
476,COMP_PART_OF,462
384,COMP_PART_OF,462
703,COMP_PART_OF,1290
699,COMP_PART_OF,1227
684,COMP_PART_OF,1227
551,COMP_PART_OF,1227
755,COMP_PART_OF,1227
801,COMP_PART_OF,1227
151,COMP_PART_OF,1227
2,COMP_PART_OF,1227
215,COMP_PART_OF,707
898,COMP_PART_OF,707
101,COMP_PART_OF,707
346,COMP_PART_OF,707
700,COMP_PART_OF,707
393,COMP_PART_OF,707
704,COMP_PART_OF,707
94,COMP_PART_OF,707
165,COMP_PART_OF,707
214,COMP_PART_OF,707
673,COMP_PART_OF,707
177,COMP_PART_OF,707
635,COMP_PART_OF,707
1012,COMP_PART_OF,707
461,COMP_PART_OF,707
576,COMP_PART_OF,707
240,COMP_PART_OF,707
600,COMP_PART_OF,175
346,COMP_PART_OF,662
700,COMP_PART_OF,662
424,COMP_PART_OF,662
177,COMP_PART_OF,662
426,COMP_PART_OF,662
203,COMP_PART_OF,662
540,COMP_PART_OF,662
978,COMP_PART_OF,662
931,COMP_PART_OF,662
885,COMP_PART_OF,395
204,COMP_PART_OF,395
204,COMP_PART_OF,1384
325,COMP_PART_OF,1077
275,COMP_PART_OF,1197
647,COMP_PART_OF,1197
278,COMP_PART_OF,1197
93,COMP_PART_OF,1197
610,COMP_PART_OF,1197
567,COMP_PART_OF,1197
288,COMP_PART_OF,1197
13,COMP_PART_OF,1197
292,COMP_PART_OF,1197
836,COMP_PART_OF,1197
573,COMP_PART_OF,1197
296,COMP_PART_OF,1197
577,COMP_PART_OF,1197
298,COMP_PART_OF,1197
862,COMP_PART_OF,1197
844,COMP_PART_OF,1197
1091,COMP_PART_OF,1197
299,COMP_PART_OF,1197
301,COMP_PART_OF,1197
583,COMP_PART_OF,1197
322,COMP_PART_OF,1197
22,COMP_PART_OF,1197
586,COMP_PART_OF,1197
26,COMP_PART_OF,1197
311,COMP_PART_OF,1197
595,COMP_PART_OF,1197
35,COMP_PART_OF,1197
866,COMP_PART_OF,1197
600,COMP_PART_OF,1197
315,COMP_PART_OF,1197
880,COMP_PART_OF,1197
873,COMP_PART_OF,1197
876,COMP_PART_OF,1197
606,COMP_PART_OF,1197
50,COMP_PART_OF,1197
473,COMP_PART_OF,1197
324,COMP_PART_OF,1197
608,COMP_PART_OF,1197
609,COMP_PART_OF,1197
328,COMP_PART_OF,1197
865,COMP_PART_OF,1197
886,COMP_PART_OF,1197
333,COMP_PART_OF,1197
616,COMP_PART_OF,1197
619,COMP_PART_OF,1197
611,COMP_PART_OF,1197
65,COMP_PART_OF,1197
339,COMP_PART_OF,1197
340,COMP_PART_OF,1197
971,COMP_PART_OF,1197
346,COMP_PART_OF,1197
628,COMP_PART_OF,1197
630,COMP_PART_OF,1197
631,COMP_PART_OF,1197
1073,COMP_PART_OF,1197
81,COMP_PART_OF,1197
358,COMP_PART_OF,1197
638,COMP_PART_OF,1197
86,COMP_PART_OF,1197
366,COMP_PART_OF,1197
367,COMP_PART_OF,1197
369,COMP_PART_OF,1197
645,COMP_PART_OF,1197
91,COMP_PART_OF,1197
918,COMP_PART_OF,1197
919,COMP_PART_OF,1197
920,COMP_PART_OF,1197
373,COMP_PART_OF,1197
655,COMP_PART_OF,1197
656,COMP_PART_OF,1197
657,COMP_PART_OF,1197
798,COMP_PART_OF,1197
384,COMP_PART_OF,1197
107,COMP_PART_OF,1197
108,COMP_PART_OF,1197
664,COMP_PART_OF,1197
1030,COMP_PART_OF,1197
114,COMP_PART_OF,1197
395,COMP_PART_OF,1197
397,COMP_PART_OF,1197
670,COMP_PART_OF,1197
671,COMP_PART_OF,1197
939,COMP_PART_OF,1197
675,COMP_PART_OF,1197
338,COMP_PART_OF,1197
946,COMP_PART_OF,1197
684,COMP_PART_OF,1197
131,COMP_PART_OF,1197
215,COMP_PART_OF,1197
954,COMP_PART_OF,1197
136,COMP_PART_OF,1197
800,COMP_PART_OF,1197
958,COMP_PART_OF,1197
419,COMP_PART_OF,1197
700,COMP_PART_OF,1197
144,COMP_PART_OF,1197
400,COMP_PART_OF,1197
703,COMP_PART_OF,1197
704,COMP_PART_OF,1197
147,COMP_PART_OF,1197
1036,COMP_PART_OF,1197
149,COMP_PART_OF,1197
973,COMP_PART_OF,1197
888,COMP_PART_OF,1197
56,COMP_PART_OF,1197
975,COMP_PART_OF,1197
153,COMP_PART_OF,1197
980,COMP_PART_OF,1197
156,COMP_PART_OF,1197
158,COMP_PART_OF,1197
719,COMP_PART_OF,1197
159,COMP_PART_OF,1197
985,COMP_PART_OF,1197
439,COMP_PART_OF,1197
990,COMP_PART_OF,1197
724,COMP_PART_OF,1197
728,COMP_PART_OF,1197
449,COMP_PART_OF,1197
1001,COMP_PART_OF,1197
174,COMP_PART_OF,1197
453,COMP_PART_OF,1197
1004,COMP_PART_OF,1197
456,COMP_PART_OF,1197
177,COMP_PART_OF,1197
179,COMP_PART_OF,1197
461,COMP_PART_OF,1197
744,COMP_PART_OF,1197
1094,COMP_PART_OF,1197
1014,COMP_PART_OF,1197
468,COMP_PART_OF,1197
1016,COMP_PART_OF,1197
750,COMP_PART_OF,1197
1019,COMP_PART_OF,1197
191,COMP_PART_OF,1197
1021,COMP_PART_OF,1197
196,COMP_PART_OF,1197
198,COMP_PART_OF,1197
1026,COMP_PART_OF,1197
201,COMP_PART_OF,1197
756,COMP_PART_OF,1197
357,COMP_PART_OF,1197
761,COMP_PART_OF,1197
763,COMP_PART_OF,1197
317,COMP_PART_OF,1197
764,COMP_PART_OF,1197
1040,COMP_PART_OF,1197
991,COMP_PART_OF,1197
766,COMP_PART_OF,1197
1046,COMP_PART_OF,1197
1049,COMP_PART_OF,1197
431,COMP_PART_OF,1197
787,COMP_PART_OF,1197
772,COMP_PART_OF,1197
226,COMP_PART_OF,1197
774,COMP_PART_OF,1197
228,COMP_PART_OF,1197
229,COMP_PART_OF,1197
512,COMP_PART_OF,1197
471,COMP_PART_OF,1197
1062,COMP_PART_OF,1197
234,COMP_PART_OF,1197
235,COMP_PART_OF,1197
1066,COMP_PART_OF,1197
877,COMP_PART_OF,1197
788,COMP_PART_OF,1197
524,COMP_PART_OF,1197
525,COMP_PART_OF,1197
505,COMP_PART_OF,1197
792,COMP_PART_OF,1197
957,COMP_PART_OF,1197
243,COMP_PART_OF,1197
244,COMP_PART_OF,1197
534,COMP_PART_OF,1197
536,COMP_PART_OF,1197
1082,COMP_PART_OF,1197
974,COMP_PART_OF,1197
804,COMP_PART_OF,1197
166,COMP_PART_OF,1197
1057,COMP_PART_OF,1197
806,COMP_PART_OF,1197
541,COMP_PART_OF,1197
1092,COMP_PART_OF,1197
1093,COMP_PART_OF,1197
1013,COMP_PART_OF,1197
809,COMP_PART_OF,1197
546,COMP_PART_OF,1197
547,COMP_PART_OF,1197
549,COMP_PART_OF,1197
816,COMP_PART_OF,1197
1061,COMP_PART_OF,1197
1102,COMP_PART_OF,1197
268,COMP_PART_OF,1197
269,COMP_PART_OF,1197
821,COMP_PART_OF,1197
554,COMP_PART_OF,1197
761,COMP_PART_OF,761
144,COMP_PART_OF,761
766,COMP_PART_OF,761
610,COMP_PART_OF,761
81,COMP_PART_OF,761
710,COMP_PART_OF,761
649,COMP_PART_OF,761
787,COMP_PART_OF,761
366,COMP_PART_OF,761
985,COMP_PART_OF,761
854,COMP_PART_OF,761
788,COMP_PART_OF,761
728,COMP_PART_OF,761
